State Name,Action,ACC Register,,,PC Register,,SP Register,IR Register,,,MAR Register,,,CC Register,,,DRAM Memory Access,,,,MASK Register,,Interrupt Register,,Interrupt Control,,ALU Control,,DRAM Control,IRAM Control,,Input/Output Bus,
,,ACCld,ACCclr,ACCin,PCin,PCctrl,SPctrl,IRld,IRclr,IRin,MARld,MARclr,MARin,CCld,CCclr,CCin,writeSrc,indirect,addrSrc,dataCacheCtrl,ldMask,clrMask,ldIntReg,clrIntReg,intDisable,clrPend,ALUctrl,ALUsrc,DRAMclr,IRAMclr,instCacheCtrl,devACK,outDataReady
reset,clear all regs/cache,0,0,00,00,11,01,0,0,0,0,0,0,0,0,0,000,0,0,00,0,0,0,0,0,0,ir[4:2],0,1,1,00,0,0
intLoad,load interrupt reg,0,1,00,00,00,00,0,1,0,0,1,0,0,1,0,000,0,0,01,0,1,1,1,0,1,ir[4:2],0,1,1,01,0,0
intCheck,check for interrupt,0,1,00,00,00,00,0,1,0,0,1,0,0,1,0,000,0,0,01,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
fetch0,get inst from instRAM,0,1,00,00,00,00,0,1,0,0,1,0,0,1,0,000,0,0,10,0,1,0,1,0,1,ir[4:2],0,1,1,10,0,0
fetch1,controller <= IRout,0,1,00,00,00,00,0,1,0,0,1,0,0,1,0,000,0,0,01,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
fetch2,"PC <= PC + 1
IR <= [PC(15:10)]
MAR <= [PC(7:0)]",0,1,00,00,10,00,1,1,1,1,1,0,0,1,0,000,0,0,01,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
sub0,SP <= SP + 1,0,1,00,00,00,10,0,1,0,0,1,0,0,1,0,000,0,0,01,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
sub1,[SP] <= ACC,0,1,00,00,00,00,0,1,0,0,1,0,0,1,0,000,0,1,11,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
sub2,SP <= SP + 1,0,1,00,00,00,10,0,1,0,0,1,0,0,1,0,000,0,0,01,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
sub3,[SP] <= PC,0,1,00,00,00,00,0,1,0,0,1,0,0,1,0,001,0,1,11,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
sub4,SP <= SP + 1,0,1,00,00,00,10,0,1,0,0,1,0,0,1,0,000,0,0,01,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
sub5,"[SP] <= {CC,IR}",0,1,00,00,00,00,0,1,0,0,1,0,0,1,0,011,0,1,11,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
sub6,SP <= SP + 1,0,1,00,00,00,10,0,1,0,0,1,0,0,1,0,000,0,0,01,0,1,0,1,0,1,ir[4:2],0,1,1,01,0,0
